source,Desmouliere A et al. (1995)
pmc,PMC1870783
figure,Figs 1-2 - alpha-SMA+ cell density and apoptosis in granulation tissue
wound_type,excisional (rat)
notes,"Alpha-SMA immunostaining; apoptosis peak day 20; density normalized to peak"
day,myofibroblasts_normalized
0,0.00
4,0.05
6,0.25
8,0.55
10,0.80
12,1.00
15,0.90
20,0.50
25,0.20
30,0.08
