day,neutrophils_normalized,macrophages_normalized
0,0.00,0.00
0.5,0.50,0.05
1,1.00,0.40
2,0.95,0.80
3,0.60,1.00
4,0.30,0.95
5,0.10,0.85
7,0.01,0.55
10,0.00,0.28
14,0.00,0.10
21,0.00,0.03
28,0.00,0.00
