# Burn wound inflammation kinetics (deep partial thickness)
# Higher peak and prolonged resolution compared to punch biopsy.
# Massive neutrophil infiltration from thermal tissue necrosis.
# Sources: Declercq 2012, Evers 2010
day,inflammation_normalized
0,0.00
0.5,0.60
1,0.90
2,1.00
3,0.95
5,0.80
7,0.60
10,0.45
14,0.30
21,0.18
28,0.10
35,0.06
42,0.03
56,0.01
