day,neutrophils_normalized,macrophages_normalized
0,0.00,0.00
0.5,0.10,0.02
1,0.25,0.12
2,0.50,0.30
3,0.75,0.50
5,1.00,0.80
7,0.80,1.00
10,0.55,0.80
14,0.35,0.55
21,0.15,0.30
28,0.05,0.12
