treatment,mean_infl_wound,n_agents,peak_collagen,peak_inflammation,peak_inflammation_day,peak_inflammation_step,peak_macrophages,peak_myofibroblasts,peak_neutrophils,scar_magnitude,time_to_50pct_days,time_to_90pct_days,wound_closure_pct
doxycycline+moisture+msc,0.0124913,0,1.8377,0.70961,1.7,400,10,10,10,2.10388,14.2,22.5,100.0
doxycycline+moisture+npwt,0.0076807,0,1.31416,0.718266,2.5,600,10,10,9,2.0385,12.5,20.8,100.0
doxycycline+msc+npwt,0.00452708,0,1.6333,0.691903,1.7,400,10,10,13,1.74191,10.8,17.5,100.0
growth_factor+hbo+moisture,0.0603339,0,2.51115,1.00544,3.3,800,10,17,8,2.655,13.3,20.8,100.0
growth_factor+hbo+msc,0.0140992,0,2.98343,0.756979,2.5,600,10,17,8,2.32069,19.2,28.3,100.0
growth_factor+hbo+npwt,0.0154622,0,2.73175,0.896969,3.3,800,10,17,10,2.6507,12.5,19.2,100.0
growth_factor+moisture+msc,0.0203283,0,1.90183,0.811367,1.7,400,10,17,11,2.35793,15.0,22.5,100.0
growth_factor+moisture+npwt,0.0154938,0,2.11267,0.821934,1.7,400,10,17,10,2.18988,13.3,20.0,100.0
growth_factor+msc+npwt,0.00994589,0,2.49805,0.809122,1.7,400,10,17,9,2.16503,11.7,23.3,100.0
hbo+moisture+msc,0.0174478,0,2.00393,0.85861,1.7,400,10,10,9,2.35213,11.7,18.3,100.0
hbo+moisture+npwt,0.012252,0,1.67861,0.850701,2.5,600,10,10,10,2.19958,9.2,20.0,100.0
hbo+msc+npwt,0.0074072,0,1.82224,0.789308,1.7,400,10,10,9,2.04015,12.5,19.2,100.0
moisture+msc+npwt,0.0371332,0,1.76575,0.799651,1.7,400,10,10,10,2.06547,10.8,18.3,100.0
anti_inflammatory+doxycycline+growth_factor+hbo,0.000284371,0,3.21925,0.447766,1.7,400,10,17,9,0.926877,15.0,21.7,100.0
anti_inflammatory+doxycycline+growth_factor+moisture,0.00595151,0,1.03345,0.516797,1.7,400,10,17,10,1.06146,12.5,22.5,100.0
anti_inflammatory+doxycycline+growth_factor+msc,0.000326389,0,2.85648,0.445417,1.7,400,10,17,10,0.894629,16.7,22.5,100.0
anti_inflammatory+doxycycline+growth_factor+npwt,0.00291699,0,1.77519,0.510491,1.7,400,10,17,14,1.0338,13.3,20.0,100.0
anti_inflammatory+doxycycline+hbo+moisture,0.00543563,0,1.16754,0.511705,1.7,400,10,10,14,1.05906,10.8,16.7,100.0
anti_inflammatory+doxycycline+hbo+msc,0.000380452,0,1.81339,0.443079,1.7,400,10,10,9,0.867964,13.3,20.8,100.0
anti_inflammatory+doxycycline+hbo+npwt,0.00332258,0,1.26724,0.51047,1.7,400,10,10,11,1.06169,11.7,20.0,100.0
anti_inflammatory+doxycycline+moisture+msc,0.00874788,0,0.727271,0.521138,1.7,400,10,10,11,1.15179,13.3,26.7,100.0
anti_inflammatory+doxycycline+moisture+npwt,0.0042647,0,1.46575,0.500643,1.7,400,10,10,9,1.07166,10.8,22.5,100.0
anti_inflammatory+doxycycline+msc+npwt,0.00268803,0,1.2898,0.511163,1.7,400,10,10,9,1.01425,10.0,18.3,100.0
anti_inflammatory+growth_factor+hbo+moisture,0.0051222,0,1.87576,0.512376,1.7,400,10,16,9,1.11745,12.5,20.8,100.0
anti_inflammatory+growth_factor+hbo+msc,0.000353866,0,2.85233,0.448373,1.7,400,10,17,13,0.867537,17.5,22.5,100.0
anti_inflammatory+growth_factor+hbo+npwt,0.00269174,0,1.79185,0.499729,1.7,400,10,17,10,0.994954,11.7,19.2,100.0
anti_inflammatory+growth_factor+moisture+msc,0.00625922,0,1.99929,0.504094,1.7,400,10,16,12,1.16432,14.2,21.7,100.0
anti_inflammatory+growth_factor+moisture+npwt,0.00286608,0,1.81855,0.503918,1.7,400,10,16,14,1.00668,11.7,19.2,100.0
anti_inflammatory+growth_factor+msc+npwt,0.00346633,0,1.66843,0.505684,1.7,400,10,17,12,1.04137,12.5,20.0,100.0
anti_inflammatory+hbo+moisture+msc,0.00571249,0,1.33713,0.512735,1.7,400,10,10,10,1.06955,11.7,18.3,100.0
anti_inflammatory+hbo+moisture+npwt,0.00270647,0,1.58933,0.503429,1.7,400,10,10,11,1.04774,12.5,20.0,100.0
anti_inflammatory+hbo+msc+npwt,0.00323655,0,0.98181,0.492832,1.7,400,10,10,12,0.976609,9.2,16.7,100.0
anti_inflammatory+moisture+msc+npwt,0.0028676,0,1.48467,0.498183,1.7,400,10,10,9,1.04284,10.8,19.2,100.0
doxycycline+growth_factor+hbo+moisture,0.0138835,0,2.38032,0.721807,2.5,600,10,17,10,2.28211,13.3,20.8,100.0
doxycycline+growth_factor+hbo+msc,0.000686141,0,3.62987,0.622962,1.7,400,10,16,10,1.76262,15.8,20.8,100.0
doxycycline+growth_factor+hbo+npwt,0.0128835,0,1.88122,0.691364,1.7,400,10,17,9,1.98416,10.8,20.0,100.0
doxycycline+growth_factor+moisture+msc,0.0107711,0,2.02089,0.713881,1.7,400,10,15,11,1.99719,11.7,20.8,100.0
