treatment,metric,max_deviation,max_deviation_day,resistance,peak_response,t_max_days,return_time_days,elasticity,settling_time_days,overshoot,overshoot_pct,auc_burden,steady_state_error,rise_time_days,final_value,initial_value
growth_factor_moisture_msc,wound_closure_pct,100.0,0.0,0.01,100.0,22.5,22.5,4.444444444444445,22.5,100.0,100.0,1374.999916666667,0.0,18.333333333333332,100.0,0.0
growth_factor_moisture_msc,mean_infl_wound,0.811367,1.6666666666666667,1.2324878877252834,0.811367,1.6666666666666667,32.5,0.02496513846153846,34.166666666666664,0.7910387,97.49456164719543,9.799004708333332,0.0203283,,0.0203283,0.0
growth_factor_moisture_msc,mean_collagen_wound,1.90183,0.0,0.5258093520451355,1.90183,21.666666666666668,17.5,0.108676,18.333333333333332,0.0,0.0,42.33020525000002,,10.0,1.90183,0.0
growth_factor_moisture_msc,mean_perfusion_wound,1.0,0.0,1.0,0.489588,4.166666666666667,3.3333333333333335,0.3,20.0,0.441345,44.134499999999996,19.06046375,0.558655,1.6666666666666667,0.441345,0.0
growth_factor_moisture_msc,scar_magnitude,2.35793,34.166666666666664,0.4241008002782101,2.35793,34.166666666666664,,,24.166666666666668,0.0,0.0,56.02774125000001,2.35793,,2.35793,0.0
growth_factor_moisture_msc,n_neutrophils,11.0,3.3333333333333335,0.09090909090909091,11.0,3.3333333333333335,4.166666666666666,2.6400000000000006,7.5,11.0,100.0,46.66666666666667,0.0,,0.0,0.0
growth_factor_moisture_msc,mean_mmp_wound,0.835772,4.166666666666667,1.1964985665947172,0.835772,4.166666666666667,15.833333333333332,0.0527856,34.166666666666664,0.68811,82.33226286594909,9.72511666666667,0.147662,,0.147662,0.0
growth_factor_moisture_msc,mean_fibronectin_wound,0.366741,34.166666666666664,2.726719946774427,0.474298,4.166666666666667,,,30.833333333333332,0.366741,77.32290669579041,7.7906200000000005,,,0.107557,0.224775
growth_factor_moisture_msc_npwt,wound_closure_pct,100.0,0.0,0.01,100.0,21.666666666666668,21.666666666666668,4.615384615384615,21.666666666666668,100.0,100.0,1277.777775,0.0,18.333333333333336,100.0,0.0
growth_factor_moisture_msc_npwt,mean_infl_wound,0.875844,3.3333333333333335,1.1417558377975987,0.875844,3.3333333333333335,30.833333333333332,0.02840575135135135,34.166666666666664,0.86737311,99.03283118911587,9.662436654166664,0.00847089,,0.00847089,0.0
growth_factor_moisture_msc_npwt,mean_collagen_wound,2.04554,0.0,0.48886846505079345,2.04554,21.666666666666668,18.333333333333332,0.1115749090909091,19.166666666666668,0.0,0.0,43.04362858333334,,9.999999999999998,2.04554,0.0
growth_factor_moisture_msc_npwt,mean_perfusion_wound,1.0,0.0,1.0,0.48959,4.166666666666667,3.3333333333333335,0.3,19.166666666666668,0.443407,44.3407,19.001199583333335,0.556593,1.6666666666666667,0.443407,0.0
growth_factor_moisture_msc_npwt,scar_magnitude,2.32782,34.166666666666664,0.4295864800542997,2.32782,34.166666666666664,,,21.666666666666668,0.0,0.0,58.23583066666665,2.32782,,2.32782,0.0
growth_factor_moisture_msc_npwt,n_neutrophils,11.0,3.3333333333333335,0.09090909090909091,11.0,3.3333333333333335,5.833333333333332,1.8857142857142861,9.166666666666666,11.0,100.0,45.83333333333334,0.0,,0.0,0.0
growth_factor_moisture_msc_npwt,mean_mmp_wound,1.11912,3.3333333333333335,0.8935592251054401,1.11912,3.3333333333333335,30.833333333333332,0.03629578378378378,34.166666666666664,1.0883018999999998,97.2462202444778,12.138980541666665,0.0308181,,0.0308181,0.0
growth_factor_moisture_msc_npwt,mean_fibronectin_wound,0.368622,34.166666666666664,2.712806072345112,0.476617,5.0,,,30.0,0.368622,77.34134535696377,7.6948733333333355,,,0.107995,0.224775
growth_factor_moisture_npwt,wound_closure_pct,100.0,0.0,0.01,100.0,20.0,20.0,5.0,20.0,100.0,100.0,1194.4445583333331,0.0,16.666666666666668,100.0,0.0
growth_factor_moisture_npwt,mean_infl_wound,0.821934,1.6666666666666667,1.2166426988055001,0.821934,1.6666666666666667,32.5,0.025290276923076924,34.166666666666664,0.8064402,98.11495813532474,9.075564666666663,0.0154938,,0.0154938,0.0
growth_factor_moisture_npwt,mean_collagen_wound,2.11267,0.0,0.47333469022611196,2.11267,21.666666666666668,17.5,0.120724,18.333333333333332,0.0,0.0,45.14606166666667,,9.166666666666666,2.11267,0.0
growth_factor_moisture_npwt,mean_perfusion_wound,1.0,0.0,1.0,0.439779,10.833333333333334,4.166666666666667,0.24,29.166666666666668,0.376266,37.626599999999996,21.20073166666667,0.623734,2.5,0.376266,0.0
growth_factor_moisture_npwt,scar_magnitude,2.18988,34.166666666666664,0.4566460262662794,2.18988,34.166666666666664,,,26.666666666666668,0.0,0.0,53.057109999999994,2.18988,,2.18988,0.0
growth_factor_moisture_npwt,n_neutrophils,10.0,3.3333333333333335,0.1,10.0,3.3333333333333335,4.166666666666666,2.4000000000000004,7.5,10.0,100.0,37.5,0.0,,0.0,0.0
growth_factor_moisture_npwt,mean_mmp_wound,0.95737,29.166666666666668,1.0445282388209365,0.95737,29.166666666666668,4.9999999999999964,0.19147400000000014,34.166666666666664,0.540235,56.42907130994287,17.50500458333333,0.417135,,0.417135,0.0
growth_factor_moisture_npwt,mean_fibronectin_wound,0.3823425,34.166666666666664,2.6154560374533307,0.481156,5.0,,,32.5,0.3823425,79.46331335367324,7.902476041666665,,,0.0988135,0.224775
growth_factor_msc,wound_closure_pct,100.0,0.0,0.01,100.0,25.0,25.0,4.0,25.0,100.0,100.0,1763.888716666667,0.0,18.333333333333332,100.0,0.0
growth_factor_msc,mean_infl_wound,0.704685,1.6666666666666667,1.419073770549962,0.704685,1.6666666666666667,32.5,0.021682615384615384,34.166666666666664,0.7027034600000001,99.71880485607045,8.577182850000002,0.00198154,,0.00198154,0.0
growth_factor_msc,mean_collagen_wound,3.19224,0.0,0.31325965466255673,3.19224,21.666666666666668,16.666666666666668,0.1915344,18.333333333333332,0.0,0.0,71.10442000833338,,9.166666666666668,3.19224,0.0
growth_factor_msc,mean_perfusion_wound,1.0,0.0,1.0,0.489589,4.166666666666667,3.3333333333333335,0.3,21.666666666666668,0.433643,43.3643,19.16116458333334,0.566357,1.6666666666666667,0.433643,0.0
growth_factor_msc,scar_magnitude,2.07713,34.166666666666664,0.4814335164385474,2.07713,34.166666666666664,,,23.333333333333332,0.0,0.0,50.66786600000001,2.07713,,2.07713,0.0
growth_factor_msc,n_neutrophils,9.0,1.6666666666666667,0.1111111111111111,9.0,1.6666666666666667,7.499999999999999,1.2000000000000002,9.166666666666666,9.0,100.0,33.333333333333336,0.0,,0.0,0.0
growth_factor_msc,mean_mmp_wound,0.694889,3.3333333333333335,1.43907875934142,0.694889,3.3333333333333335,30.833333333333332,0.02253694054054054,34.166666666666664,0.6813847,98.05662487102256,9.350215041666667,0.0135043,,0.0135043,0.0
